Song_name,Start_letter,End_letter
SON OF SUN ~Extended Mix~,,
Airwave ~Extended Mix~,,
Airwave,A,E
BEE-U-TIFUL,B,L
Burn it Down,B,N
Cosmic Fantastic Lovesong,C,G
Cozy Quilt,C,T
D2,D,2
Dream of Winds,D,S
Dual Strikers,D,S
Eternal Fantasy ~유니의 꿈~,E,Y
La Campanella : Nu Rave,L,E
Love is Beautiful,L,L
MonoXide,M,E
Nova ~Mr.Funky Remix~,N,A
Put'Em Up,P,P
Puzzler,P,R
Rage Of Demon,R,N
Say it from your heart,S,T
Sweet Dream,S,M
The Guilty,T,Y
Trip,T,P
XLASHER,X,R
Thor (Extended Mix),,
Y (Extended Mix),,
End of Mythology,E,Y
설레임 Part.2,H,T
유령,G,T
AD2222,A,2
A Life With You,A,U
Angel,A,L
Bamboo on Bamboo,B,O
Black Swan,B,N
Dark Prism,D,M
Dream Again,D,N
EGG,E,G
Emblem,E,M
Fallin' in LUV,F,V
Feel Ma Beat,F,T
Give Me 5,G,5
Kung-Fu Rider,K,R
"My Heart, My Soul",M,L
Now a NEW Day,N,Y
Out of CTRL,O,L
Over The Rainbow,O,W
